RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Jeff Hart,63,75.97,645,849
2,2,Fred Funk,102,75.90,"1,071","1,411"
3,3,Omar Uresti,84,74.94,879,"1,173"
4,4,Olin Browne,99,73.46,969,"1,319"
5,5,Gavin Coles,70,73.44,719,979
6,6,Bart Bryant,91,73.00,933,"1,278"
7,7,José Coceres,56,71.88,542,754
8,8,Brian Davis,75,71.73,751,"1,047"
9,9,Scott Verplank,87,71.48,862,"1,206"
10,10,Robert Damron,89,71.43,885,"1,239"
11,11,Heath Slocum,103,71.25,984,"1,381"
12,12,Paul Claxton,79,71.14,784,"1,102"
13,13,Joe Durant,81,70.90,804,"1,134"
14,14,Jay Williamson,53,70.77,523,739
15,15,Skip Kendall,80,70.63,767,"1,086"
16,16,Jeff Maggert,79,70.54,728,"1,032"
17,17,Kirk Triplett,55,70.43,512,727
18,18,Tom Byrum,83,70.28,816,"1,161"
19,19,Larry Mize,54,70.16,489,697
20,21,Jeff Brehaut,71,69.92,651,931
21,22,John Cook,72,69.85,681,975
22,19,Billy Mayfair,114,69.75,"1,070","1,534"
23,23,Duffy Waldorf,86,69.27,798,"1,152"
23,23,Darron Stiles,78,69.27,735,"1,061"
25,25,Matt Kuchar,60,68.98,576,835
26,26,Doug Barron,70,68.88,673,977
27,27,David Hearn,68,68.53,649,947
28,28,Richard Johnson,50,68.49,476,695
29,29,Hidemichi Tanaka,106,68.45,972,"1,420"
30,30,Jim Carter,62,68.22,571,837
31,31,Joey Sindelar,104,68.14,988,"1,450"
32,37,Jim Furyk,94,68.07,887,"1,303"
33,32,Jerry Kelly,101,68.02,938,"1,379"
34,33,Loren Roberts,54,67.97,503,740
35,34,Stephen Leaney,89,67.92,811,"1,194"
36,35,Mark Brooks,72,67.90,679,"1,000"
37,36,Danny Briggs,70,67.86,644,949
38,38,Bradley Hughes,52,67.50,488,723
39,39,Alex Cejka,84,67.23,759,"1,129"
40,40,Brian Gay,101,67.22,927,"1,379"
41,41,Mark Wilson,74,67.21,654,973
42,42,Jeff Sluman,94,67.18,878,"1,307"
43,43,Briny Baird,98,67.14,897,"1,336"
44,44,Chris Riley,67,67.11,602,897
45,45,Corey Pavin,77,66.99,682,"1,018"
46,46,Robert Gamez,91,66.98,846,"1,263"
47,47,Zach Johnson,96,66.92,894,"1,336"
48,50,Arron Oberholser,65,66.70,585,877
49,48,Mark Calcavecchia,92,66.51,838,"1,260"
50,52,Tjaart van der Walt,56,66.28,517,780
50,52,Joey Snyder III,102,66.28,906,"1,367"
