RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS
59,61,Ben Crane,92,.139,11.236,81
60,62,Justin Rose,77,.131,8.254,63
61,63,Tom Byrum,83,.130,9.395,72
61,63,Billy Mayfair,109,.130,12.118,93
63,65,John Cook,57,.127,6.115,48
64,66,Brett Quigley,102,.125,11.007,88
65,67,Heath Slocum,92,.123,10.228,83
66,55,Shigeki Maruyama,93,.122,9.543,78
66,70,Mark Hensby,97,.122,10.012,82
68,59,Steve Flesch,109,.121,9.954,82
68,68,Mark Wilson,62,.121,7.009,58
70,69,Todd Fischer,104,.113,10.407,92
71,71,Brent Geiberger,94,.104,8.767,84
72,72,Arron Oberholser,77,.100,6.222,62
73,74,Charles Howell III,104,.095,7.195,76
74,75,Bo Van Pelt,107,.094,7.718,82
75,104,Todd Hamilton,92,.093,6.484,70
75,76,Deane Pappas,72,.093,5.944,64
77,73,Sergio Garcia,65,.091,4.559,50
77,77,Matt Kuchar,83,.091,7.033,77
79,78,Mark O'Meara,58,.087,3.578,41
80,79,José Coceres,68,.085,5.158,61
81,80,Pat Bates,99,.083,7.503,90
82,81,Dennis Paulson,71,.077,5.067,66
82,81,Notah Begay III,71,.077,4.843,63
84,83,Craig Bowden,83,.070,5.213,75
85,84,Rich Beem,81,.067,4.069,61
86,85,Shaun Micheel,93,.064,4.511,70
86,85,Geoff Ogilvy,91,.064,4.888,76
88,87,Tom Carter,113,.059,5.701,96
89,88,Bernhard Langer,59,.055,2.293,42
90,89,Joe Ogilvie,104,.051,4.369,85
91,90,Scott Simpson,55,.046,2.350,51
92,91,Scott Hoch,52,.045,2.048,46
93,92,Steve Elkington,64,.044,2.442,56
94,94,Blaine McCallister,68,.040,2.449,62
95,95,Greg Chalmers,70,.038,2.474,65
95,95,Brenden Pappas,111,.038,3.717,99
97,97,Billy Andrade,104,.034,3.133,92
98,98,Hank Kuehne,91,.030,2.539,84
99,99,Skip Kendall,99,.028,2.257,80
99,99,Niclas Fasth,61,.028,1.480,52
101,101,Robert Damron,92,.026,2.166,84
101,101,Brian Kortan,65,.026,1.503,57
103,103,Alex Cejka,76,.020,1.144,57
103,109,K.J. Choi,83,.020,1.240,63
105,104,David Morland IV,73,.015,.932,62
106,107,Bob Burns,88,.012,.971,78
107,108,Stephen Leaney,84,.011,.645,57
108,110,Tom Pernice Jr.,103,.005,.411,86
109,111,Harrison Frazar,86,.002,.163,71
110,112,Peter Lonard,68,.001,.027,54
111,113,Matt Gogel,86,.000,-.029,70
112,114,D.J. Brigman,79,-.002,-.131,69
113,115,Tommy Armour III,87,-.004,-.327,76
114,116,Daniel Chopra,108,-.006,-.537,92
115,92,Fred Funk,97,-.011,-.937,83
116,118,Freddie Jacobson,83,-.014,-.880,63
117,106,Scott Verplank,92,-.016,-1.105,68
118,117,Kenny Perry,79,-.017,-1.030,62
119,119,Scott Hend,81,-.018,-1.238,70
119,119,Vaughn Taylor,84,-.018,-1.372,77
121,136,David Toms,80,-.024,-1.439,59
122,121,J.P. Hayes,79,-.026,-1.667,64
122,121,Cameron Beckman,99,-.026,-2.299,87
124,124,Roger Tambellini,81,-.033,-2.281,70
125,126,Michael Allen,87,-.037,-2.842,77
126,127,Mark Calcavecchia,79,-.039,-2.366,60
127,128,Briny Baird,100,-.041,-3.295,81
128,129,Woody Austin,94,-.045,-3.735,83
129,130,Neal Lancaster,106,-.049,-4.555,93
130,131,Dudley Hart,60,-.051,-2.335,46
131,132,Spike McRoy,93,-.052,-4.002,77
131,132,Cliff Kresge,89,-.052,-3.865,75
133,134,Robert Gamez,103,-.056,-5.039,90
134,135,Bob Tway,90,-.057,-3.760,66
135,137,Gene Sauers,83,-.062,-4.530,73
136,138,Mathias Grönberg,91,-.064,-4.726,74
137,125,Zach Johnson,109,-.066,-5.861,89
138,139,J.J. Henry,103,-.071,-6.495,91
139,123,Stephen Ames,97,-.078,-6.254,80
140,140,Ted Purdy,114,-.081,-8.361,103
141,141,Steve Allan,102,-.087,-7.695,88
141,141,Pat Perez,102,-.087,-7.451,86
143,143,John Senden,99,-.094,-8.124,86
144,144,Jonathan Kaye,79,-.096,-5.955,62
145,145,Tim Clark,84,-.099,-7.062,71
146,146,Bart Bryant,73,-.100,-6.516,65
147,147,Danny Ellis,81,-.102,-7.026,69
148,148,David Gossett,57,-.109,-5.553,51
149,149,Duffy Waldorf,79,-.114,-6.735,59
150,150,Kent Jones,99,-.116,-10.068,87
150,150,Arjun Atwal,85,-.116,-8.695,75
152,152,Rocco Mediate,53,-.130,-4.676,36
152,152,Scott McCarron,88,-.130,-9.768,75
154,160,Chad Campbell,100,-.132,-10.149,77
155,154,Ken Duke,89,-.134,-10.758,80
156,155,Andre Stolz,53,-.137,-6.554,48
157,156,Rich Barcelo,67,-.140,-8.277,59
158,157,Tag Ridings,53,-.142,-6.374,45
159,179,Adam Scott,55,-.147,-5.894,40
160,158,Jason Bohn,98,-.150,-13.227,88
161,159,Jay Delsing,76,-.159,-10.178,64
162,161,Frank Lickliter II,89,-.163,-12.742,78
163,162,Jeff Brehaut,106,-.166,-15.581,94
164,163,Richard Johnson,102,-.167,-15.498,93
165,164,Russ Cochran,61,-.172,-9.450,55
166,165,Kevin Muncrief,50,-.175,-7.858,45
167,166,Hidemichi Tanaka,89,-.176,-13.744,78
168,167,Jeff Maggert,60,-.177,-8.838,50
169,168,Hunter Mahan,94,-.181,-14.996,83
170,169,Danny Briggs,85,-.186,-13.949,75
171,170,John Rollins,90,-.187,-13.458,72
172,171,Joe Durant,85,-.190,-14.413,76
173,172,Jay Williamson,100,-.194,-17.459,90
174,173,Hirofumi Miyase,65,-.200,-11.400,57
175,174,Olin Browne,92,-.202,-15.988,79
176,175,Brian Bateman,84,-.206,-15.007,73
177,176,Tommy Tolles,67,-.210,-12.831,61
178,177,Robert Allenby,93,-.215,-15.482,72
179,178,Kris Cox,73,-.216,-13.162,61
180,180,J.L. Lewis,106,-.219,-19.446,89
181,181,John Riegger,53,-.221,-10.810,49
182,182,Ryan Palmer,103,-.235,-21.126,90
183,183,Patrick Sheehan,113,-.244,-24.354,100
184,184,Steve Lowery,91,-.255,-18.889,74
185,186,Tripp Isenhour,55,-.285,-13.413,47
186,187,Dan Olsen,75,-.287,-18.624,65
187,188,David Branshaw,84,-.288,-20.735,72
188,189,Mike Heinen,53,-.299,-15.270,51
189,190,Dicky Pride,66,-.305,-17.966,59
190,191,Roland Thatcher,66,-.312,-19.029,61
191,192,Joey Sindelar,100,-.327,-29.066,89
192,193,Guy Boros,64,-.341,-20.108,59
193,195,Darren Clarke,54,-.352,-12.334,35
194,194,Lucas Glover,95,-.358,-30.091,84
195,196,Chris Smith,105,-.430,-40.019,93
196,197,Chris Couch,55,-1.269,-58.387,46
