RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Jesper Parnevik,88,.979,73.415,75
2,2,Tiger Woods,63,.712,30.626,43
3,9,Tim Clark,66,.695,36.839,53
4,4,Freddie Jacobson,70,.660,44.863,68
5,3,Zach Johnson,76,.659,39.541,60
6,5,Aaron Baddeley,83,.629,41.504,66
7,7,Dean Wilson,92,.619,46.427,75
8,6,Bob Estes,88,.616,49.251,80
9,10,Tag Ridings,52,.605,27.232,45
10,11,Rory Sabbatini,81,.549,34.615,63
11,8,Chris Tidland,59,.547,27.907,51
12,12,K.J. Choi,87,.518,35.220,68
13,13,Brandt Snedeker,105,.511,43.946,86
14,14,George McNeill,95,.487,38.921,80
15,15,Craig Lile,77,.484,33.398,69
16,16,José María Olazábal,52,.481,17.793,37
17,17,Ryuji Imada,104,.474,42.211,89
18,19,Luke Donald,69,.438,21.877,50
19,18,Rich Barcelo,80,.435,30.483,70
20,21,Parker McLachlin,83,.419,30.617,73
21,24,Charlie Wi,90,.416,34.512,83
22,20,Stewart Cink,91,.412,29.635,72
23,23,Shigeki Maruyama,84,.396,31.642,80
24,27,Brian Gay,107,.384,37.257,97
25,26,Paul Goydos,60,.370,17.396,47
26,28,Arron Oberholser,69,.362,19.204,53
27,29,Joe Ogilvie,102,.351,30.578,87
28,25,Kevin Na,84,.348,27.148,78
29,22,Gavin Coles,87,.340,26.177,77
30,30,Charles Howell III,89,.338,22.322,66
31,32,Steve Elkington,87,.324,23.685,73
31,31,Tom Pernice Jr.,104,.324,27.220,84
33,33,Steve Stricker,81,.322,20.937,65
34,34,Corey Pavin,81,.309,21.915,71
35,40,Dicky Pride,71,.307,18.742,61
36,36,Henrik Stenson,52,.300,10.782,36
37,57,Michael Sim,52,.298,14.908,50
38,38,Jonathan Byrd,73,.296,18.372,62
39,37,Tim Petrovic,106,.290,27.579,95
40,39,Chris Riley,59,.281,14.355,51
41,40,David Toms,80,.278,17.506,63
42,42,Sergio Garcia,68,.269,14.787,55
43,43,Fred Funk,65,.265,14.018,53
44,44,Padraig Harrington,64,.260,11.968,46
45,46,Steve Allan,63,.259,14.243,55
46,35,Craig Bowden,78,.255,17.071,67
47,51,Stephen Ames,81,.251,15.549,62
48,48,Nathan Green,103,.241,20.938,87
49,50,Richard Johnson,93,.240,20.162,84
50,54,Vaughn Taylor,91,.237,17.075,72
51,49,Carl Pettersson,111,.232,21.381,92
52,47,Frank Lickliter II,95,.227,19.332,85
53,63,Daniel Chopra,106,.222,21.120,95
54,59,Bob Heintz,85,.221,15.929,72
55,62,Heath Slocum,101,.220,20.491,93
56,52,Stephen Leaney,82,.219,16.207,74
57,53,Hunter Mahan,91,.213,15.347,72
58,56,Mark Hensby,81,.204,14.658,72
59,59,Bart Bryant,87,.198,14.621,74
60,94,Bryce Molder,56,.186,9.118,49
61,55,Sean O'Hair,98,.180,14.974,83
62,64,Troy Matteson,87,.169,12.814,76
63,58,Andrew Buckle,77,.161,10.806,67
63,82,Tripp Isenhour,86,.161,11.754,73
65,44,Bob Tway,103,.160,14.064,88
65,66,Bo Van Pelt,104,.160,15.540,97
67,67,Phil Mickelson,73,.156,8.119,52
68,68,Charley Hoffman,97,.153,12.698,83
69,61,Jarrod Lyle,77,.149,9.985,67
70,71,Ryan Moore,92,.133,9.962,75
71,74,Adam Scott,69,.129,6.992,54
71,70,Ryan Armour,107,.129,12.125,94
73,80,Justin Leonard,95,.124,10.158,82
74,72,Lucas Glover,98,.113,8.796,78
75,79,John Rollins,102,.104,8.757,84
76,77,Marco Dawson,73,.103,6.711,65
77,65,Ryan Palmer,91,.102,8.366,82
78,81,Jason Gore,86,.100,7.790,78
78,75,Ken Duke,112,.100,9.482,95
80,78,Cliff Kresge,107,.095,9.545,100
81,85,Tim Herron,98,.092,7.518,82
82,83,Jay Williamson,50,.090,4.307,48
82,86,Pat Perez,84,.090,5.879,65
84,69,Bubba Watson,80,.085,5.600,66
85,76,Michael Boyd,61,.072,3.760,52
85,88,Geoff Ogilvy,84,.072,4.635,64
87,73,John Mallinger,96,.068,5.938,87
88,87,Jeff Quinney,95,.067,5.737,86
89,92,Brian Davis,101,.065,5.743,88
90,95,Glen Day,85,.063,4.736,75
91,89,Justin Rose,63,.061,2.394,39
92,99,Jeff Overton,60,.060,3.264,54
93,84,Eric Axley,107,.059,5.504,94
94,91,Camilo Villegas,82,.046,3.173,69
95,102,Matt Kuchar,85,.041,2.918,71
96,93,Todd Hamilton,76,.032,1.828,58
97,90,Scott Gutschewski,67,.030,1.740,58
98,106,Rich Beem,89,.027,1.869,70
99,96,Mark Wilson,87,.024,1.763,73
99,96,J.J. Henry,86,.024,1.616,68
101,110,Jason Schultz,63,.022,1.153,53
102,99,Tommy Armour III,81,.019,1.290,69
103,98,Craig Kanada,109,.012,1.165,94
104,101,Rod Pampling,92,.010,.773,74
105,136,J.P. Hayes,89,-.002,-.135,80
106,121,Mathias Grönberg,95,-.004,-.352,88
107,107,Brett Quigley,79,-.005,-.340,63
108,114,Mathew Goggin,97,-.018,-1.542,87
108,116,Doug LaBelle II,104,-.018,-1.631,91
108,103,Bill Haas,93,-.018,-1.480,82
111,110,Retief Goosen,50,-.020,-.663,34
112,112,Vijay Singh,102,-.023,-1.911,82
112,112,Kevin Sutherland,85,-.023,-1.592,69
114,124,D.J. Brigman,67,-.026,-1.402,54
115,105,Shaun Micheel,91,-.027,-1.885,70
116,115,Ernie Els,59,-.031,-1.345,44
117,138,Michael Allen,74,-.035,-2.264,64
118,117,Stuart Appleby,74,-.037,-2.167,58
119,118,Ian Poulter,63,-.038,-1.499,39
120,104,Rocco Mediate,72,-.041,-2.730,67
121,109,Briny Baird,115,-.049,-5.119,105
122,120,Nick O'Hern,72,-.057,-3.145,55
123,108,Robert Garrigus,95,-.062,-5.347,86
