RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,Scott Hend,75,318.9,"46,560",146
2,2,Tiger Woods,76,316.1,"46,787",148
3,3,Brett Wetterich,76,311.7,"46,133",148
4,4,Scott Gutschewski,86,310.5,"50,914",164
5,5,John Daly,78,310.1,"47,138",152
6,6,Brenden Pappas,51,309.4,"31,562",102
7,7,Hank Kuehne,84,307.7,"49,225",160
8,8,Davis Love III,80,305.4,"45,810",150
9,9,Kenny Perry,82,304.7,"48,751",160
10,10,Sergio Garcia,73,303.5,"41,271",136
11,11,Brandt Jobe,96,302.3,"55,622",184
12,12,Lucas Glover,88,302.2,"51,974",172
13,13,John Elliott,58,301.7,"33,791",112
14,14,Brendan Jones,81,301.5,"47,632",158
15,15,Mathias Grönberg,60,301.4,"34,960",116
16,16,Vijay Singh,111,301.1,"65,646",218
17,16,Harrison Frazar,105,301.0,"60,798",202
18,18,Chris Smith,93,300.8,"55,957",186
19,19,Stuart Appleby,84,300.6,"47,789",159
20,22,Tag Ridings,93,300.2,"54,640",182
20,22,Jason Allred,75,300.2,"43,822",146
20,22,Will MacKenzie,75,300.2,"43,836",146
23,25,Kevin Stadler,96,300.1,"55,217",184
23,20,Sean O'Hair,103,300.1,"59,415",198
23,20,Adam Scott,72,300.1,"40,815",136
26,26,Phil Mickelson,81,300.0,"44,400",148
27,27,Charles Warren,89,299.2,"52,066",174
28,28,Nick Watney,91,298.9,"53,209",178
29,29,Michael Long,72,298.3,"41,755",140
30,30,Dennis Paulson,63,298.2,"37,578",126
31,31,Geoff Ogilvy,97,298.0,"55,431",186
32,32,Steve Allan,102,297.8,"58,367",196
33,33,Robert Allenby,95,297.7,"52,987",178
34,34,J.J. Henry,102,297.6,"59,514",200
35,35,Daniel Chopra,108,297.3,"61,843",208
36,36,Rory Sabbatini,81,297.2,"46,366",156
37,37,Jonathan Byrd,103,297.0,"58,799",198
38,38,Lee Westwood,50,296.8,"28,497",96
39,39,Fred Couples,72,296.4,"40,310",136
40,40,Rod Pampling,89,295.9,"49,719",168
41,42,D.J. Trahan,81,295.8,"45,557",154
42,43,D.J. Brigman,76,295.5,"42,558",144
42,43,James Driscoll,73,295.5,"41,962",142
44,40,Retief Goosen,71,295.4,"36,038",122
45,45,Ted Purdy,122,295.2,"72,037",244
45,46,David Hearn,68,295.2,"40,147",136
47,47,Ryan Palmer,101,295.0,"57,235",194
48,48,Carlos Franco,78,294.7,"44,801",152
49,49,John Rollins,97,294.4,"55,937",190
50,50,Arjun Atwal,65,294.2,"38,246",130
51,51,Justin Rose,99,294.1,"55,879",190
52,52,Chad Campbell,95,294.0,"54,101",184
52,52,Dan Forsman,52,294.0,"29,401",100
54,,Padraig Harrington,50,293.9,"28,214",96
55,54,Hunter Mahan,103,293.8,"59,356",202
56,55,Charles Howell III,95,293.6,"52,855",180
56,56,John Huston,90,293.6,"50,504",172
58,57,Neal Lancaster,95,293.4,"55,742",190
59,58,Brett Quigley,96,293.3,"53,963",184
59,58,Bo Van Pelt,112,293.3,"65,699",224
61,60,Ben Crane,78,293.1,"43,377",148
62,60,Jason Bohn,91,292.9,"53,310",182
63,62,Marco Dawson,82,292.4,"47,960",164
64,63,Jesper Parnevik,84,292.2,"47,917",164
65,65,Tim Herron,100,292.1,"57,829",198
65,64,Michael Allen,90,292.1,"52,579",180
67,65,Roland Thatcher,75,292.0,"42,635",146
68,67,Pat Perez,89,291.8,"51,945",178
68,67,Joey Snyder III,102,291.8,"57,185",196
70,69,Carl Pettersson,109,291.7,"61,252",210
71,70,Bob Heintz,67,291.5,"39,058",134
71,70,J.L. Lewis,98,291.5,"57,130",196
71,70,Greg Owen,84,291.5,"46,646",160
74,73,Aaron Baddeley,84,291.4,"47,788",164
75,74,Bradley Hughes,52,291.3,"30,300",104
76,75,Brian Bateman,98,291.1,"54,725",188
77,76,Scott McCarron,78,291.0,"43,065",148
77,76,Steve Lowery,100,291.0,"55,866",192
77,76,John Senden,101,291.0,"57,624",198
80,79,Tom Pernice Jr.,111,290.7,"61,912",213
80,79,Jonathan Kaye,77,290.7,"43,030",148
82,81,D.A. Points,94,290.5,"52,290",180
83,82,Mark Hensby,70,290.4,"39,491",136
84,83,Vaughn Taylor,99,290.3,"57,486",198
85,84,Ryuji Imada,78,290.1,"45,256",156
86,85,Zach Johnson,96,290.0,"55,093",190
87,86,Andrew Magee,82,289.9,"44,937",155
88,87,Hunter Haas,83,289.6,"45,762",158
88,87,Craig Barlow,81,289.6,"44,592",154
90,89,Freddie Jacobson,72,289.5,"41,116",142
91,96,Mark Calcavecchia,92,289.3,"52,070",180
92,90,Joe Durant,81,289.2,"46,844",162
93,91,Woody Austin,100,289.1,"57,815",200
93,91,Peter Lonard,85,289.1,"48,566",168
93,91,Bernhard Langer,67,289.1,"38,744",134
96,94,Justin Bolli,65,289.0,"36,413",126
96,94,Patrick Sheehan,114,289.0,"63,587",220
98,96,Shigeki Maruyama,99,288.8,"56,596",196
98,96,K.J. Choi,78,288.8,"42,167",146
100,99,Briny Baird,98,288.7,"55,421",192
101,100,Shaun Micheel,81,288.4,"45,560",158
102,101,Kent Jones,99,288.3,"55,939",194
103,103,Frank Lickliter II,100,288.2,"55,329",192
